provider_id,name,specialty,city,state,zip_code,phone
1,Eaton-Gibson,Orthopedic,North John,South Carolina,83283,1673383132
2,Lewis Ltd,General Practitioner,South Joshuahaven,Connecticut,14837,+1-714-989-1321x074
3,Wise Ltd,Dermatologist,New Oliviaside,Vermont,85931,(690)540-7413x281
4,"Reed, Duncan and Hill",Orthopedic,Port Saraborough,Oregon,31714,001-629-837-0755
5,"Rodriguez, Moses and Duffy",Orthopedic,East Tracyton,California,29323,6116484988
6,"Cohen, Clark and Campbell",General Practitioner,Williamshaven,Virginia,39340,484.576.6369x521
7,Perkins-Ramirez,Dermatologist,Lake Sandra,Ohio,32083,(796)360-2320
8,Taylor Group,Cardiologist,North Robertchester,California,81449,8226110732
9,Carroll-Velasquez,Oncologist,Port Loretta,Oregon,69166,939.957.5455x6650
10,Davis LLC,General Practitioner,South Christineview,South Dakota,47016,038-941-9605x5530
11,Vasquez LLC,General Practitioner,Heatherfort,Vermont,90436,601-504-6622x68342
12,Baker-Best,Oncologist,Delgadochester,Oregon,64377,592-441-6553x61546
13,"Morrison, Spencer and Crawford",Orthopedic,Christinaborough,North Dakota,08899,522-590-9087x7342
14,"Price, Clarke and Lindsey",General Practitioner,East Taylortown,Michigan,90794,478-207-1163
15,Jones-Cook,Cardiologist,Knappburgh,Michigan,26090,(653)598-5598
16,"Hopkins, Reed and Smith",Dermatologist,South Danielmouth,Texas,09572,+1-794-191-1805
17,"Wilson, Rivera and Bennett",Orthopedic,New Davidland,Virginia,58883,189.174.5317x9127
18,"Adkins, Sosa and Mueller",General Practitioner,Josephland,Indiana,15216,001-868-806-5426
19,Floyd-Johnson,Cardiologist,Lake Timothy,Connecticut,22137,985.950.3917x709
20,"Williams, Webb and Nash",Oncologist,Jordanbury,Tennessee,99788,579.709.9465
21,"Byrd, Beck and Mendoza",Orthopedic,Port Michealshire,Idaho,66970,(548)611-3873x927
22,"Barton, Ramirez and Norris",Cardiologist,Mortonhaven,Oklahoma,15017,9696341919
23,Newton Inc,General Practitioner,West John,Texas,30552,001-001-872-4854x4381
24,Elliott Inc,Oncologist,Jonesview,Maine,39150,001-945-230-7135x75085
25,Cunningham-Browning,General Practitioner,Smithburgh,Mississippi,51457,1331548086
26,Richards-Frazier,Dermatologist,New Brandonview,Hawaii,82296,+1-014-653-7982
27,"Morris, Costa and Cook",General Practitioner,Allenport,Maine,74331,672.633.5083x637
28,Harrison Ltd,Oncologist,South Victoriabury,Washington,16008,538.118.5075x8426
29,Carlson-Flores,Dermatologist,Jamestown,Florida,32475,(222)893-2604x5690
30,Bell-Garcia,Dermatologist,Jofort,Rhode Island,30664,026-024-4024
31,"James, Hurley and Bautista",Orthopedic,Wolfshire,Arkansas,93909,833.849.0118x355
32,Jones-Taylor,General Practitioner,South Nicolefort,Oklahoma,18821,053-352-8784x3911
33,"Cruz, Spencer and Allen",Orthopedic,South Benjaminshire,South Dakota,04020,(774)654-7036x031
34,Lindsey PLC,Oncologist,Stevenberg,Minnesota,38883,(175)928-3698x89936
35,Nicholson and Sons,Orthopedic,North Steven,Arkansas,61534,187.525.1717x6557
36,Anderson-Anderson,Orthopedic,Teresastad,Tennessee,99332,645-492-6943x40641
37,"Buck, Brown and Flores",Oncologist,Patriciamouth,Illinois,79230,536.839.1983x44936
38,Hunter LLC,Dermatologist,East Reginald,Pennsylvania,34017,(952)986-0184
39,Johnson-Anderson,General Practitioner,West Jeanette,Iowa,17607,872-176-4550x8797
40,"Sanders, Harris and Garcia",Orthopedic,Lake Katie,Nebraska,27230,636-109-5357x4005
41,Moore-Johnson,Cardiologist,North Lauraside,Maine,85379,4363752146
42,Davis and Sons,Dermatologist,South Derek,Massachusetts,05917,001-369-751-1648
43,Mcdonald-Mora,Orthopedic,South Marissa,Nevada,21521,659.994.9287x409
44,Crawford-Williams,Cardiologist,South Ronald,North Dakota,18302,522-312-2418x665
45,Roberts Ltd,Oncologist,North Loristad,Florida,25435,(580)298-7432x22290
46,Berry-Tate,Orthopedic,Reyesmouth,Colorado,03640,657.320.2045x5980
47,Solis PLC,General Practitioner,East Mike,North Carolina,10706,001-687-134-8328x20078
48,Thompson-Salazar,Dermatologist,Port Susan,Minnesota,88503,+1-284-145-4419x173
49,"Patrick, Robinson and Wood",Orthopedic,New Christopher,Pennsylvania,39868,744.090.5535
50,Sanchez LLC,General Practitioner,Brandonmouth,Rhode Island,32309,515-532-1149
51,Rodriguez PLC,Orthopedic,Justinbury,Indiana,91953,(337)599-3613
52,Galvan LLC,Cardiologist,Jonathanborough,Texas,13408,(854)157-4129x74307
53,Hartman-Perez,Dermatologist,Lake Karen,Massachusetts,95090,(844)431-9440x6864
54,Hogan-Rojas,General Practitioner,Port Kenneth,Connecticut,80438,500.574.9149x640
55,Huffman-Wallace,General Practitioner,Andrewtown,Idaho,27189,732-172-8880x669
56,Lawrence and Sons,Oncologist,Lake Donna,Nevada,78344,012.629.3286
57,Johnson-Fox,Dermatologist,West Ronniemouth,Colorado,53439,(381)923-1525x5115
58,Wilson-Hansen,Orthopedic,East Christinahaven,Indiana,45601,199.168.4233
59,Watson PLC,Cardiologist,Erictown,Hawaii,25088,+1-634-823-9922x4353
60,Herrera-Gonzalez,Orthopedic,West Melissaland,Oklahoma,30159,001-845-203-7984
61,Hardy Group,Cardiologist,South Travis,Texas,42836,9004374532
62,Bell-Burton,Oncologist,North Austinhaven,Texas,96977,+1-851-925-7690x4756
63,Lee PLC,General Practitioner,Walkermouth,Missouri,29302,259-944-6421
64,"Sullivan, Gentry and Ortega",Cardiologist,Port Nathaniel,Florida,54970,001-512-545-7611x78865
65,Smith-Simmons,General Practitioner,Stewartton,Mississippi,70000,(130)563-3467x32112
66,Clark-Campos,General Practitioner,New Meredithburgh,Maryland,55357,+1-602-294-0610x4611
67,Norton-Smith,Orthopedic,Hernandezberg,North Dakota,38952,001-033-329-2060x753
68,Munoz-Colon,Cardiologist,New Edward,Georgia,85975,444-105-2611
69,Wallace and Sons,Cardiologist,Shannonmouth,Idaho,32273,138-822-9889
70,"Reeves, Banks and Johnson",General Practitioner,Alexport,South Dakota,04641,795.306.7645
71,Smith PLC,Cardiologist,Joseville,Louisiana,07735,(401)046-3839x84384
72,Howell and Sons,Dermatologist,Jennifertown,Colorado,82573,001-862-257-9608x08952
73,"Lee, Morris and Stevens",Oncologist,New Jacquelinestad,New York,96874,786.296.0749x44547
74,Frazier and Sons,Dermatologist,Owensstad,Texas,01333,773-035-3022x5272
75,"Estes, Mckinney and Barber",Orthopedic,Joyfort,New Hampshire,19038,001-989-171-4512
76,Rice-Johnson,Orthopedic,Courtneyfort,Oregon,69643,054.749.1890x43024
77,Hall Ltd,Dermatologist,North Christopher,South Carolina,27149,(655)792-5361x1083
78,Johnson-Waller,Oncologist,West Anthonyberg,Rhode Island,28489,001-909-649-3617x4678
79,"Gaines, Perry and Crane",Cardiologist,South Ellenfort,Idaho,73625,+1-784-846-6082x553
80,Glover Ltd,Oncologist,West Eric,Idaho,87361,2376652497
81,"Edwards, Pham and Pineda",Oncologist,New Erica,Maryland,97350,+1-035-022-1703x52354
82,Smith PLC,Cardiologist,Kaylaport,Hawaii,85950,001-361-349-2987
83,Bell Inc,Cardiologist,Donaldhaven,Maryland,92626,392.112.5967
84,"Powers, Mason and Jennings",Cardiologist,West Janicefurt,Georgia,19091,+1-635-338-6462x97662
85,"Ortega, Cole and Wood",Cardiologist,Sarafurt,Wyoming,03326,+1-857-564-0883x6888
86,"Larson, Deleon and Howard",General Practitioner,North Laceyburgh,South Carolina,97471,605.186.1331x6673
87,Weaver-Roberson,Dermatologist,Lynchton,Rhode Island,71508,001-636-314-1475x825
88,"Rogers, Lane and Floyd",General Practitioner,South Joshua,Wisconsin,97027,041.110.8665
89,"Mccarty, Green and Raymond",Dermatologist,Stephenville,Illinois,96971,(523)183-1558
90,Rodriguez Group,Dermatologist,Johnmouth,Maine,52005,001-097-458-1936x00149
91,Jenkins PLC,Dermatologist,Alexanderchester,Utah,09490,187.365.1993x25076
92,Graves Inc,Oncologist,Port Geraldshire,Texas,51880,967.572.3769
93,"Salazar, Howard and Hernandez",Dermatologist,New Hunterland,Maine,86750,001-210-269-8668x677
94,Williams-Moore,Cardiologist,New Zacharymouth,Pennsylvania,47400,(501)410-9277
95,"Garza, Ellis and Salazar",Oncologist,Lake Ronnieton,Missouri,13166,377-289-3595
96,Jefferson LLC,Oncologist,South Peterborough,Wisconsin,66034,994.784.7510
97,"Larson, Harris and Villegas",General Practitioner,Kaitlyntown,Michigan,42834,791.864.8569x7767
98,Callahan and Sons,Orthopedic,New Katelynton,Utah,04182,+1-874-108-4303x3702
99,"Clark, Medina and Moreno",Oncologist,Mcdonaldchester,Washington,56332,277.615.3561
100,"Rich, Mccormick and Baldwin",Cardiologist,Port Walter,Rhode Island,38638,001-666-644-2713
101,Scott Inc,Oncologist,East Scottberg,West Virginia,63015,(822)698-9285x724
102,Baker-Greene,General Practitioner,Hamiltonville,Montana,08017,646.108.0501x58672
103,Watkins Inc,Oncologist,Birdside,Arkansas,97162,805.269.2089x02212
104,Walsh-Lozano,Orthopedic,West Jennifer,Georgia,83621,+1-125-121-4815
105,Johnson-Herrera,Dermatologist,Janetberg,Florida,44449,470-868-9238x768
106,"Khan, Pugh and Gross",Oncologist,Lake Tiffanyshire,Montana,97922,252-614-9710x3782
107,Marshall Ltd,General Practitioner,Port Brittany,Minnesota,61962,(396)342-1205x3075
108,Hernandez Inc,Orthopedic,Hillview,Massachusetts,18097,092-974-6257
109,Kaiser-Arroyo,Dermatologist,Garzaview,Vermont,09411,339.751.8412x91919
110,Baker-Faulkner,Oncologist,West Cynthia,Pennsylvania,34233,963.938.7137x99386
111,"Johnson, Shepherd and Hoffman",Cardiologist,Andrewville,Utah,87122,610-900-1754
112,"Miller, Hunt and Hill",Oncologist,Aaronton,Nebraska,75389,(342)614-9717
113,Williams LLC,Cardiologist,Lorifort,Texas,94240,774-395-1993
114,"Ramos, Montgomery and Byrd",General Practitioner,Millermouth,Oregon,74975,658.850.4465x996
115,"Cooke, Wilson and Watson",Dermatologist,East Robertborough,Alabama,20489,001-469-781-5599x26066
116,Jackson-Miller,Oncologist,New Angela,Colorado,95361,+1-309-125-3734x280
117,Brown-Lopez,Dermatologist,North Danielfort,Georgia,69705,168-919-3737x93485
118,Booker Ltd,Cardiologist,East Justintown,Massachusetts,72807,(264)496-8021x52306
119,"Buckley, Simmons and Brooks",Orthopedic,Lake Lisa,Minnesota,11577,1919489553
120,Miller-Morton,General Practitioner,Christianville,Ohio,85737,819.790.7962x4462
121,"Riggs, Myers and Richardson",Oncologist,Esparzaberg,California,34224,+1-496-747-1210x1880
122,Simmons Inc,Orthopedic,Whiteton,Arkansas,48102,+1-162-460-8479x02904
123,"Rice, Adams and Higgins",General Practitioner,Lake Sarahhaven,California,78874,814.412.8221x726
124,Chambers and Sons,Cardiologist,Williamschester,Colorado,48165,(161)353-8751
125,Miller Ltd,General Practitioner,Garciafurt,Rhode Island,75095,681-545-9952
126,Spence-Morton,Dermatologist,New Thomasberg,Nebraska,71199,(277)097-8982x49351
127,Stanley-Petty,Cardiologist,Kellyton,Alaska,62852,823.477.7889x9541
128,Myers-Holloway,General Practitioner,Port Colleenhaven,New York,91163,(785)925-7133x569
129,"Martinez, Rodriguez and Cole",Dermatologist,Thomaston,Kentucky,42765,(145)980-1398x7947
130,Nunez-White,Dermatologist,North Michaelside,Missouri,98166,492-828-4468
131,Cole and Sons,Oncologist,Mitchellborough,Wisconsin,92092,+1-142-719-5855x526
132,Davis PLC,Oncologist,Lake Michael,Hawaii,26977,001-732-850-8067x6739
133,"Lopez, White and Franco",General Practitioner,Kennethberg,New York,73813,+1-827-158-7815x157
134,Morgan-Barajas,Dermatologist,Hunterport,Vermont,24061,(789)230-9018x17051
135,Rhodes-Kent,Orthopedic,Christopherburgh,Indiana,23557,001-266-235-6343
136,Anderson-Petty,Dermatologist,Andrewchester,Rhode Island,22155,+1-577-890-2734
137,"Davis, Duran and Vega",Cardiologist,Teresaton,Alabama,43903,+1-745-168-0942x9845
138,"Brown, Clay and Mooney",General Practitioner,Kyleborough,North Carolina,52617,7017954059
139,"Keller, Lopez and Ward",General Practitioner,Ronaldborough,Washington,38630,704.750.7532x101
140,"Myers, Sanders and Ford",Oncologist,Gonzaleztown,Maine,93012,4510127436
141,Becker-Davis,Dermatologist,Lake Anthonyview,North Dakota,40259,484.104.3498x3083
142,Reyes-Strickland,Oncologist,Andrefort,Nebraska,73745,855-412-6801x401
143,Ramirez-Parker,Dermatologist,Wendyville,New Hampshire,20295,(115)595-7288
144,"Powell, Greene and Chapman",General Practitioner,South Carlashire,Virginia,22319,(746)261-1443
145,Brown-Harris,Cardiologist,Whitneymouth,California,96592,(941)248-0548
146,Salazar LLC,Cardiologist,North Walterchester,Oregon,96824,965.416.9671
147,Reid-Lindsey,Cardiologist,South Jennifer,Tennessee,49043,(889)138-7138
148,Baker PLC,General Practitioner,South Benjaminport,Arkansas,59714,001-375-528-6911x8587
149,"Brown, Escobar and Pollard",Oncologist,New Melissa,Kansas,23027,(750)002-0048x56137
150,Lee-Reyes,Dermatologist,South Normanbury,Washington,76605,817-043-8484x700
151,Sanchez LLC,Oncologist,Port Nicole,Washington,99239,+1-478-192-2867x99763
152,Baker LLC,General Practitioner,Williamview,Virginia,51314,(994)306-0949
153,Francis-Durham,Oncologist,New Courtney,West Virginia,14253,(260)445-4526x96037
154,Wright-Sanders,Orthopedic,South Jasonton,Mississippi,29552,017.884.7948x43849
155,"Ballard, Collins and King",Dermatologist,East Ryanstad,Wisconsin,72425,402-025-2188
156,Pierce-Adams,General Practitioner,Hayesside,Nevada,20437,+1-147-422-2034x7619
157,Bonilla-Williams,Orthopedic,West Davidberg,Connecticut,33538,(253)003-9096x819
158,Morales-Owens,Oncologist,Gonzalezmouth,Minnesota,00848,+1-032-685-6507x077
159,"James, Travis and Hoffman",Cardiologist,Joeside,Wisconsin,64871,+1-604-127-4414x06885
160,Andrade LLC,Oncologist,East Trevor,Louisiana,87873,+1-261-972-5777x201
161,Rasmussen Group,General Practitioner,Bradyfort,Georgia,18633,006-151-9809x453
162,Mathis-Kelly,Cardiologist,West Joshua,Virginia,95279,001-714-612-2716x48041
163,Parker and Sons,Oncologist,Jordanport,Rhode Island,46067,+1-720-257-7940x1182
164,"Carter, Hayes and Morales",General Practitioner,East Jenniferfort,California,85277,159.791.9977
165,Robinson Ltd,Orthopedic,Christinaside,North Dakota,22783,205.181.0653
166,"Sosa, Young and Allen",Orthopedic,West Joelton,Illinois,27293,960.225.5393x2823
167,Parker-Patton,Cardiologist,Nicolestad,Wisconsin,85483,694.724.7841
168,"Underwood, Gray and Payne",Oncologist,Kristenton,Utah,83653,(104)064-5958x71787
169,Williams-Andrews,Orthopedic,Port Anneton,Louisiana,98535,(422)200-8601x404
170,Shah Ltd,Oncologist,New Michael,Illinois,55070,+1-385-903-9674x51277
171,Schultz Ltd,Orthopedic,West Corey,Colorado,09170,183.699.5060
172,"Hendrix, Bell and Stout",General Practitioner,Port Amandahaven,Maine,13947,(009)928-1265
173,Ross-Young,Cardiologist,North Barbara,Mississippi,95554,(506)265-5640x1051
174,Bell-Schroeder,Cardiologist,Chadberg,Michigan,64501,001-344-045-4293
175,Evans Group,Dermatologist,East Ryan,Vermont,87524,827-136-1438x749
176,Perez PLC,Orthopedic,New Melissaburgh,Montana,34937,163-740-7955x5455
177,"Perry, Stevens and Diaz",Orthopedic,Fergusonburgh,West Virginia,49546,+1-459-305-5046x8299
178,"Payne, Ramirez and Strong",Dermatologist,Monicaport,Washington,59109,(209)826-5260
179,Baker and Sons,Oncologist,Rosehaven,Michigan,07382,221-368-6907x33845
180,Miller-Weaver,Cardiologist,West David,Mississippi,23009,001-030-775-8930
181,"Zuniga, Smith and Parker",Cardiologist,Rossstad,Minnesota,77946,951-931-7615x4260
182,Roberts and Sons,Cardiologist,East Austinside,New Mexico,41210,731-571-0232
183,"Wilson, Luna and Andrews",General Practitioner,East Christopher,Massachusetts,23363,001-185-574-0996
184,Brown-Flowers,Oncologist,Yangview,Wyoming,39273,704.764.0470x862
185,Snyder-Zamora,Dermatologist,North Jessicafurt,Rhode Island,53717,854.426.2613
186,Ward Inc,Cardiologist,West Stephanieland,Washington,89880,856.647.4930
187,Bauer-Jackson,Orthopedic,Alexanderport,North Carolina,92380,+1-264-738-6822x75774
188,"Daniels, Mcdonald and Mcgrath",Orthopedic,Amandaburgh,Minnesota,42056,919.287.9513
189,"Martinez, Collins and Hansen",Oncologist,North Nicoleside,New Hampshire,97153,+1-968-466-3169x481
190,Moreno-Warren,General Practitioner,Angelaton,Indiana,47394,249-840-2326
191,Strong-Rivera,Dermatologist,Duartetown,Alabama,34454,+1-840-099-6371x333
192,"Holland, Holt and Glover",Cardiologist,Lake Sabrina,New York,29085,+1-503-161-1641x86981
193,"Barnett, Brown and Davis",Dermatologist,Hannahfort,Michigan,20985,+1-003-327-8776x3112
194,Wilson-Jennings,Dermatologist,Raymondmouth,Delaware,69903,310.724.9646x41220
195,Harris Ltd,Orthopedic,North Gregory,Delaware,20681,+1-397-190-5509x703
196,"Herman, White and Brown",General Practitioner,Lake Nathan,New Mexico,30135,767-281-8441
197,Reynolds-Jackson,Cardiologist,West Cindy,Iowa,18957,+1-991-862-8375x381
198,Lee-Morales,Orthopedic,East Timothy,Nevada,54246,950.635.2028
199,Brown Group,Orthopedic,Estradachester,Idaho,12153,269.457.0895
200,Brown Ltd,Orthopedic,West Markland,Illinois,76858,847.606.5555
201,"Cowan, Mathis and Williams",Orthopedic,Jodimouth,Alabama,25148,7409264362
